question_text,source_url,category,type
Takes on challenging questions and provides instant answers.,https://hr-survey.com/360_Survey_Example_1.htm,communication,scraped
Coaches others on their written communication skills,https://hr-survey.com/360_Survey_Example_1.htm,communication,scraped
Addresses issues of key importance to stakeholders.,https://hr-survey.com/360_Survey_Example_1.htm,communication,scraped
"Communicates goals of project, resources required, resources available, etc. to the team",https://hr-survey.com/360_Survey_Example_1.htm,communication,scraped
Articulates ideas and emotions clearly to others.,https://hr-survey.com/360_Survey_Example_1.htm,communication,scraped
Gives clear and convincing presentations.,https://hr-survey.com/360_Survey_Example_1.htm,communication,scraped
Adapts language and terminology to meet the needs of the audience.,https://hr-survey.com/360Feedback_Sample_Assessment_Form.htm,communication,scraped
Recaps action steps from meetings to ensure clarity and execution.,https://hr-survey.com/360Feedback_Sample_Assessment_Form.htm,communication,scraped
Considers the audience in how the communication is presented.,https://hr-survey.com/360Feedback_Sample_Assessment_Form.htm,communication,scraped
"Responds in a timely manner, respecting deadlines and others' schedules.",https://hr-survey.com/360Feedback_Sample_Assessment_Form.htm,communication,scraped
"When during status updates, I express ideas in a timely manner.",generated_by_templates,communication,generated
I persuade while maintaining attention rather than using jargon.,generated_by_templates,communication,generated
"When in negotiation scenarios, I present data while maintaining attention.",generated_by_templates,communication,generated
I am skilled at facilitate conversations while maintaining attention.,generated_by_templates,communication,generated
I communicate using storytelling in a timely manner.,generated_by_templates,communication,generated
I am skilled at articulate thoughts with appropriate detail.,generated_by_templates,communication,generated
I find it easy to mediate discussions even when addressing conflicts.,generated_by_templates,communication,generated
"When during status updates, I ask questions with empathy.",generated_by_templates,communication,generated
"When in negotiation scenarios, I mediate discussions while maintaining attention.",generated_by_templates,communication,generated
I facilitate conversations using storytelling clearly and concisely.,generated_by_templates,communication,generated
I clarify misunderstandings with confidence rather than interrupting others.,generated_by_templates,communication,generated
I explain concepts non-technical audiences tactfully.,generated_by_templates,communication,generated
I find it easy to communicate even when addressing conflicts.,generated_by_templates,communication,generated
"During team meetings, I present data with empathy.",generated_by_templates,communication,generated
I effectively ask questions when during performance reviews.,generated_by_templates,communication,generated
I can provide feedback diverse groups without missing important feedback.,generated_by_templates,communication,generated
I find it easy to listen even when handling objections.,generated_by_templates,communication,generated
I find it easy to articulate thoughts even when dealing with complex topics.,generated_by_templates,communication,generated
My crisis communication is culturally sensitive.,generated_by_templates,communication,generated
I provide feedback in meetings in a structured manner.,generated_by_templates,communication,generated
"During brainstorming meetings, I clarify misunderstandings effectively.",generated_by_templates,communication,generated
I ask questions technical staff with confidence.,generated_by_templates,communication,generated
I mediate discussions in one-page summaries tactfully.,generated_by_templates,communication,generated
"During all-hands meetings, I ask questions with appropriate detail.",generated_by_templates,communication,generated
I am skilled at listen proactively.,generated_by_templates,communication,generated
My nonverbal communication is logically organized.,generated_by_templates,communication,generated
My visual communication is clear and effective.,generated_by_templates,communication,generated
I find it easy to share information even when handling objections.,generated_by_templates,communication,generated
I am skilled at express ideas in a persuasive way.,generated_by_templates,communication,generated
I find it easy to persuade even when working with limited information.,generated_by_templates,communication,generated
I express ideas technical staff in a timely manner.,generated_by_templates,communication,generated
"During brainstorming meetings, I listen without creating confusion.",generated_by_templates,communication,generated
I listen through visual aids with confidence.,generated_by_templates,communication,generated
My verbal communication is emotionally intelligent.,generated_by_templates,communication,generated
I can listen stakeholders without causing confusion.,generated_by_templates,communication,generated
"When when explaining changes, I provide feedback proactively.",generated_by_templates,communication,generated
I can respond to concerns team members without creating resistance.,generated_by_templates,communication,generated
I mediate discussions using storytelling in a persuasive way.,generated_by_templates,communication,generated
My nonverbal communication is concise and impactful.,generated_by_templates,communication,generated
"When during client presentations, I negotiate in a persuasive way.",generated_by_templates,communication,generated
