question_id,dimension,subdimension,question_text,target_year_level,response_scale
hs_001,hard_skills,programming_languages,How confident are you in implementing microservices architecture?,1,1-5
hs_002,hard_skills,programming_languages,How well do you perform in cloud infrastructure management?,1,1-5
hs_003,hard_skills,programming_languages,How often do you engage in API security implementation?,1,1-5
hs_004,hard_skills,programming_languages,How comfortable are you with containerization technologies?,1,1-5
hs_005,hard_skills,programming_languages,How effectively can you perform optimize database performance?,3,1-5
hs_006,hard_skills,programming_languages,How confident are you in implementing CI/CD pipelines?,2,1-5
hs_007,hard_skills,programming_languages,How well do you perform in code testing and debugging?,2,1-5
hs_008,hard_skills,programming_languages,How often do you engage in system monitoring and logging?,2,1-5
hs_009,hard_skills,programming_languages,How comfortable are you with machine learning algorithms?,3,1-5
hs_010,hard_skills,programming_languages,How effectively can you perform implement data encryption?,3,1-5
hs_011,hard_skills,programming_languages,How confident are you in mobile app development?,1,1-5
hs_012,hard_skills,programming_languages,How well do you perform in web framework implementation?,2,1-5
hs_013,hard_skills,programming_languages,How often do you engage in performance profiling?,2,1-5
hs_014,hard_skills,programming_languages,How comfortable are you with blockchain technology?,3,1-5
hs_015,hard_skills,programming_languages,How effectively can you perform implement real-time systems?,3,1-5
hs_016,hard_skills,database_management,How confident are you in implementing microservices architecture?,3,1-5
hs_017,hard_skills,database_management,How well do you perform in cloud infrastructure management?,1,1-5
hs_018,hard_skills,database_management,How often do you engage in API security implementation?,1,1-5
hs_019,hard_skills,database_management,How comfortable are you with containerization technologies?,1,1-5
hs_020,hard_skills,database_management,How effectively can you perform optimize database performance?,1,1-5
hs_021,hard_skills,database_management,How confident are you in implementing CI/CD pipelines?,2,1-5
hs_022,hard_skills,database_management,How well do you perform in code testing and debugging?,3,1-5
hs_023,hard_skills,database_management,How often do you engage in system monitoring and logging?,2,1-5
hs_024,hard_skills,database_management,How comfortable are you with machine learning algorithms?,2,1-5
hs_025,hard_skills,database_management,How effectively can you perform implement data encryption?,2,1-5
hs_026,hard_skills,database_management,How confident are you in mobile app development?,3,1-5
hs_027,hard_skills,database_management,How well do you perform in web framework implementation?,1,1-5
hs_028,hard_skills,database_management,How often do you engage in performance profiling?,2,1-5
hs_029,hard_skills,database_management,How comfortable are you with blockchain technology?,2,1-5
hs_030,hard_skills,database_management,How effectively can you perform implement real-time systems?,1,1-5
hs_031,hard_skills,devops_deployment,How confident are you in implementing microservices architecture?,3,1-5
hs_032,hard_skills,devops_deployment,How well do you perform in cloud infrastructure management?,1,1-5
hs_033,hard_skills,devops_deployment,How often do you engage in API security implementation?,2,1-5
hs_034,hard_skills,devops_deployment,How comfortable are you with containerization technologies?,1,1-5
hs_035,hard_skills,devops_deployment,How effectively can you perform optimize database performance?,2,1-5
hs_036,hard_skills,devops_deployment,How confident are you in implementing CI/CD pipelines?,1,1-5
hs_037,hard_skills,devops_deployment,How well do you perform in code testing and debugging?,2,1-5
hs_038,hard_skills,devops_deployment,How often do you engage in system monitoring and logging?,2,1-5
hs_039,hard_skills,devops_deployment,How comfortable are you with machine learning algorithms?,1,1-5
hs_040,hard_skills,devops_deployment,How effectively can you perform implement data encryption?,1,1-5
hs_041,hard_skills,devops_deployment,How confident are you in mobile app development?,2,1-5
hs_042,hard_skills,devops_deployment,How well do you perform in web framework implementation?,2,1-5
hs_043,hard_skills,devops_deployment,How often do you engage in performance profiling?,3,1-5
hs_044,hard_skills,devops_deployment,How comfortable are you with blockchain technology?,3,1-5
hs_045,hard_skills,devops_deployment,How effectively can you perform implement real-time systems?,1,1-5
hs_046,hard_skills,web_development,How confident are you in implementing microservices architecture?,1,1-5
hs_047,hard_skills,web_development,How well do you perform in cloud infrastructure management?,1,1-5
hs_048,hard_skills,web_development,How often do you engage in API security implementation?,2,1-5
hs_049,hard_skills,web_development,How comfortable are you with containerization technologies?,2,1-5
hs_050,hard_skills,web_development,How effectively can you perform optimize database performance?,3,1-5
hs_051,hard_skills,web_development,How confident are you in implementing CI/CD pipelines?,3,1-5
hs_052,hard_skills,web_development,How well do you perform in code testing and debugging?,3,1-5
hs_053,hard_skills,web_development,How often do you engage in system monitoring and logging?,3,1-5
hs_054,hard_skills,web_development,How comfortable are you with machine learning algorithms?,1,1-5
hs_055,hard_skills,web_development,How effectively can you perform implement data encryption?,1,1-5
hs_056,hard_skills,web_development,How confident are you in mobile app development?,1,1-5
hs_057,hard_skills,web_development,How well do you perform in web framework implementation?,3,1-5
hs_058,hard_skills,web_development,How often do you engage in performance profiling?,2,1-5
hs_059,hard_skills,web_development,How comfortable are you with blockchain technology?,1,1-5
hs_060,hard_skills,web_development,How effectively can you perform implement real-time systems?,3,1-5
hs_061,hard_skills,mobile_development,How confident are you in implementing microservices architecture?,1,1-5
hs_062,hard_skills,mobile_development,How well do you perform in cloud infrastructure management?,3,1-5
hs_063,hard_skills,mobile_development,How often do you engage in API security implementation?,1,1-5
hs_064,hard_skills,mobile_development,How comfortable are you with containerization technologies?,1,1-5
hs_065,hard_skills,mobile_development,How effectively can you perform optimize database performance?,2,1-5
hs_066,hard_skills,mobile_development,How confident are you in implementing CI/CD pipelines?,3,1-5
hs_067,hard_skills,mobile_development,How well do you perform in code testing and debugging?,2,1-5
hs_068,hard_skills,mobile_development,How often do you engage in system monitoring and logging?,3,1-5
hs_069,hard_skills,mobile_development,How comfortable are you with machine learning algorithms?,1,1-5
hs_070,hard_skills,mobile_development,How effectively can you perform implement data encryption?,1,1-5
hs_071,hard_skills,mobile_development,How confident are you in mobile app development?,1,1-5
hs_072,hard_skills,mobile_development,How well do you perform in web framework implementation?,3,1-5
hs_073,hard_skills,mobile_development,How often do you engage in performance profiling?,2,1-5
hs_074,hard_skills,mobile_development,How comfortable are you with blockchain technology?,2,1-5
hs_075,hard_skills,mobile_development,How effectively can you perform implement real-time systems?,3,1-5
hs_076,hard_skills,data_structures_algorithms,How confident are you in implementing microservices architecture?,1,1-5
hs_077,hard_skills,data_structures_algorithms,How well do you perform in cloud infrastructure management?,2,1-5
hs_078,hard_skills,data_structures_algorithms,How often do you engage in API security implementation?,3,1-5
hs_079,hard_skills,data_structures_algorithms,How comfortable are you with containerization technologies?,2,1-5
hs_080,hard_skills,data_structures_algorithms,How effectively can you perform optimize database performance?,3,1-5
hs_081,hard_skills,data_structures_algorithms,How confident are you in implementing CI/CD pipelines?,2,1-5
hs_082,hard_skills,data_structures_algorithms,How well do you perform in code testing and debugging?,1,1-5
hs_083,hard_skills,data_structures_algorithms,How often do you engage in system monitoring and logging?,3,1-5
hs_084,hard_skills,data_structures_algorithms,How comfortable are you with machine learning algorithms?,1,1-5
hs_085,hard_skills,data_structures_algorithms,How effectively can you perform implement data encryption?,1,1-5
hs_086,hard_skills,data_structures_algorithms,How confident are you in mobile app development?,3,1-5
hs_087,hard_skills,data_structures_algorithms,How well do you perform in web framework implementation?,1,1-5
hs_088,hard_skills,data_structures_algorithms,How often do you engage in performance profiling?,3,1-5
hs_089,hard_skills,data_structures_algorithms,How comfortable are you with blockchain technology?,3,1-5
hs_090,hard_skills,data_structures_algorithms,How effectively can you perform implement real-time systems?,2,1-5
hs_091,hard_skills,software_testing,How confident are you in implementing microservices architecture?,2,1-5
hs_092,hard_skills,software_testing,How well do you perform in cloud infrastructure management?,3,1-5
hs_093,hard_skills,software_testing,How often do you engage in API security implementation?,2,1-5
hs_094,hard_skills,software_testing,How comfortable are you with containerization technologies?,1,1-5
hs_095,hard_skills,software_testing,How effectively can you perform optimize database performance?,1,1-5
hs_096,hard_skills,software_testing,How confident are you in implementing CI/CD pipelines?,3,1-5
hs_097,hard_skills,software_testing,How well do you perform in code testing and debugging?,1,1-5
hs_098,hard_skills,software_testing,How often do you engage in system monitoring and logging?,2,1-5
hs_099,hard_skills,software_testing,How comfortable are you with machine learning algorithms?,3,1-5
hs_100,hard_skills,software_testing,How effectively can you perform implement data encryption?,1,1-5
hs_101,hard_skills,software_testing,How confident are you in mobile app development?,2,1-5
hs_102,hard_skills,software_testing,How well do you perform in web framework implementation?,1,1-5
hs_103,hard_skills,software_testing,How often do you engage in performance profiling?,2,1-5
hs_104,hard_skills,software_testing,How comfortable are you with blockchain technology?,2,1-5
hs_105,hard_skills,software_testing,How effectively can you perform implement real-time systems?,3,1-5
hs_106,hard_skills,version_control,How confident are you in implementing microservices architecture?,1,1-5
hs_107,hard_skills,version_control,How well do you perform in cloud infrastructure management?,1,1-5
hs_108,hard_skills,version_control,How often do you engage in API security implementation?,1,1-5
hs_109,hard_skills,version_control,How comfortable are you with containerization technologies?,2,1-5
hs_110,hard_skills,version_control,How effectively can you perform optimize database performance?,2,1-5
hs_111,hard_skills,version_control,How confident are you in implementing CI/CD pipelines?,2,1-5
hs_112,hard_skills,version_control,How well do you perform in code testing and debugging?,3,1-5
hs_113,hard_skills,version_control,How often do you engage in system monitoring and logging?,1,1-5
hs_114,hard_skills,version_control,How comfortable are you with machine learning algorithms?,2,1-5
hs_115,hard_skills,version_control,How effectively can you perform implement data encryption?,1,1-5
hs_116,hard_skills,version_control,How confident are you in mobile app development?,2,1-5
hs_117,hard_skills,version_control,How well do you perform in web framework implementation?,3,1-5
hs_118,hard_skills,version_control,How often do you engage in performance profiling?,2,1-5
hs_119,hard_skills,version_control,How comfortable are you with blockchain technology?,3,1-5
hs_120,hard_skills,version_control,How effectively can you perform implement real-time systems?,3,1-5
hs_121,hard_skills,api_development,How confident are you in implementing microservices architecture?,3,1-5
hs_122,hard_skills,api_development,How well do you perform in cloud infrastructure management?,2,1-5
hs_123,hard_skills,api_development,How often do you engage in API security implementation?,3,1-5
hs_124,hard_skills,api_development,How comfortable are you with containerization technologies?,3,1-5
hs_125,hard_skills,api_development,How effectively can you perform optimize database performance?,2,1-5
hs_126,hard_skills,api_development,How confident are you in implementing CI/CD pipelines?,3,1-5
hs_127,hard_skills,api_development,How well do you perform in code testing and debugging?,2,1-5
hs_128,hard_skills,api_development,How often do you engage in system monitoring and logging?,2,1-5
hs_129,hard_skills,api_development,How comfortable are you with machine learning algorithms?,3,1-5
hs_130,hard_skills,api_development,How effectively can you perform implement data encryption?,1,1-5
hs_131,hard_skills,api_development,How confident are you in mobile app development?,3,1-5
hs_132,hard_skills,api_development,How well do you perform in web framework implementation?,1,1-5
hs_133,hard_skills,api_development,How often do you engage in performance profiling?,2,1-5
hs_134,hard_skills,api_development,How comfortable are you with blockchain technology?,1,1-5
hs_135,hard_skills,api_development,How effectively can you perform implement real-time systems?,2,1-5
hs_136,hard_skills,cloud_computing,How confident are you in implementing microservices architecture?,1,1-5
hs_137,hard_skills,cloud_computing,How well do you perform in cloud infrastructure management?,1,1-5
hs_138,hard_skills,cloud_computing,How often do you engage in API security implementation?,2,1-5
hs_139,hard_skills,cloud_computing,How comfortable are you with containerization technologies?,3,1-5
hs_140,hard_skills,cloud_computing,How effectively can you perform optimize database performance?,2,1-5
hs_141,hard_skills,cloud_computing,How confident are you in implementing CI/CD pipelines?,2,1-5
hs_142,hard_skills,cloud_computing,How well do you perform in code testing and debugging?,1,1-5
hs_143,hard_skills,cloud_computing,How often do you engage in system monitoring and logging?,2,1-5
hs_144,hard_skills,cloud_computing,How comfortable are you with machine learning algorithms?,1,1-5
hs_145,hard_skills,cloud_computing,How effectively can you perform implement data encryption?,1,1-5
hs_146,hard_skills,cloud_computing,How confident are you in mobile app development?,3,1-5
hs_147,hard_skills,cloud_computing,How well do you perform in web framework implementation?,2,1-5
hs_148,hard_skills,cloud_computing,How often do you engage in performance profiling?,3,1-5
hs_149,hard_skills,cloud_computing,How comfortable are you with blockchain technology?,2,1-5
hs_150,hard_skills,cloud_computing,How effectively can you perform implement real-time systems?,2,1-5
hs_151,hard_skills,cybersecurity,How confident are you in implementing microservices architecture?,3,1-5
hs_152,hard_skills,cybersecurity,How well do you perform in cloud infrastructure management?,2,1-5
hs_153,hard_skills,cybersecurity,How often do you engage in API security implementation?,1,1-5
hs_154,hard_skills,cybersecurity,How comfortable are you with containerization technologies?,1,1-5
hs_155,hard_skills,cybersecurity,How effectively can you perform optimize database performance?,3,1-5
hs_156,hard_skills,cybersecurity,How confident are you in implementing CI/CD pipelines?,2,1-5
hs_157,hard_skills,cybersecurity,How well do you perform in code testing and debugging?,1,1-5
hs_158,hard_skills,cybersecurity,How often do you engage in system monitoring and logging?,2,1-5
hs_159,hard_skills,cybersecurity,How comfortable are you with machine learning algorithms?,1,1-5
hs_160,hard_skills,cybersecurity,How effectively can you perform implement data encryption?,3,1-5
hs_161,hard_skills,cybersecurity,How confident are you in mobile app development?,3,1-5
hs_162,hard_skills,cybersecurity,How well do you perform in web framework implementation?,1,1-5
hs_163,hard_skills,cybersecurity,How often do you engage in performance profiling?,2,1-5
hs_164,hard_skills,cybersecurity,How comfortable are you with blockchain technology?,3,1-5
hs_165,hard_skills,cybersecurity,How effectively can you perform implement real-time systems?,3,1-5
hs_166,hard_skills,machine_learning,How confident are you in implementing microservices architecture?,2,1-5
hs_167,hard_skills,machine_learning,How well do you perform in cloud infrastructure management?,3,1-5
hs_168,hard_skills,machine_learning,How often do you engage in API security implementation?,1,1-5
hs_169,hard_skills,machine_learning,How comfortable are you with containerization technologies?,1,1-5
hs_170,hard_skills,machine_learning,How effectively can you perform optimize database performance?,2,1-5
hs_171,hard_skills,machine_learning,How confident are you in implementing CI/CD pipelines?,1,1-5
hs_172,hard_skills,machine_learning,How well do you perform in code testing and debugging?,3,1-5
hs_173,hard_skills,machine_learning,How often do you engage in system monitoring and logging?,1,1-5
hs_174,hard_skills,machine_learning,How comfortable are you with machine learning algorithms?,3,1-5
hs_175,hard_skills,machine_learning,How effectively can you perform implement data encryption?,3,1-5
hs_176,hard_skills,machine_learning,How confident are you in mobile app development?,2,1-5
hs_177,hard_skills,machine_learning,How well do you perform in web framework implementation?,1,1-5
hs_178,hard_skills,machine_learning,How often do you engage in performance profiling?,2,1-5
hs_179,hard_skills,machine_learning,How comfortable are you with blockchain technology?,2,1-5
hs_180,hard_skills,machine_learning,How effectively can you perform implement real-time systems?,3,1-5
hs_181,hard_skills,artificial_intelligence,How confident are you in implementing microservices architecture?,1,1-5
hs_182,hard_skills,artificial_intelligence,How well do you perform in cloud infrastructure management?,1,1-5
hs_183,hard_skills,artificial_intelligence,How often do you engage in API security implementation?,2,1-5
hs_184,hard_skills,artificial_intelligence,How comfortable are you with containerization technologies?,1,1-5
hs_185,hard_skills,artificial_intelligence,How effectively can you perform optimize database performance?,3,1-5
hs_186,hard_skills,artificial_intelligence,How confident are you in implementing CI/CD pipelines?,2,1-5
hs_187,hard_skills,artificial_intelligence,How well do you perform in code testing and debugging?,1,1-5
hs_188,hard_skills,artificial_intelligence,How often do you engage in system monitoring and logging?,1,1-5
hs_189,hard_skills,artificial_intelligence,How comfortable are you with machine learning algorithms?,3,1-5
hs_190,hard_skills,artificial_intelligence,How effectively can you perform implement data encryption?,2,1-5
hs_191,hard_skills,artificial_intelligence,How confident are you in mobile app development?,2,1-5
hs_192,hard_skills,artificial_intelligence,How well do you perform in web framework implementation?,3,1-5
hs_193,hard_skills,artificial_intelligence,How often do you engage in performance profiling?,1,1-5
hs_194,hard_skills,artificial_intelligence,How comfortable are you with blockchain technology?,2,1-5
hs_195,hard_skills,artificial_intelligence,How effectively can you perform implement real-time systems?,2,1-5
hs_196,hard_skills,blockchain,How confident are you in implementing microservices architecture?,1,1-5
hs_197,hard_skills,blockchain,How well do you perform in cloud infrastructure management?,3,1-5
hs_198,hard_skills,blockchain,How often do you engage in API security implementation?,1,1-5
hs_199,hard_skills,blockchain,How comfortable are you with containerization technologies?,3,1-5
hs_200,hard_skills,blockchain,How effectively can you perform optimize database performance?,1,1-5
hs_201,hard_skills,blockchain,How confident are you in implementing CI/CD pipelines?,3,1-5
hs_202,hard_skills,blockchain,How well do you perform in code testing and debugging?,3,1-5
hs_203,hard_skills,blockchain,How often do you engage in system monitoring and logging?,1,1-5
hs_204,hard_skills,blockchain,How comfortable are you with machine learning algorithms?,2,1-5
hs_205,hard_skills,blockchain,How effectively can you perform implement data encryption?,1,1-5
hs_206,hard_skills,blockchain,How confident are you in mobile app development?,3,1-5
hs_207,hard_skills,blockchain,How well do you perform in web framework implementation?,2,1-5
hs_208,hard_skills,blockchain,How often do you engage in performance profiling?,3,1-5
hs_209,hard_skills,blockchain,How comfortable are you with blockchain technology?,3,1-5
hs_210,hard_skills,blockchain,How effectively can you perform implement real-time systems?,1,1-5
hs_211,hard_skills,microservices,How confident are you in implementing microservices architecture?,1,1-5
hs_212,hard_skills,microservices,How well do you perform in cloud infrastructure management?,1,1-5
hs_213,hard_skills,microservices,How often do you engage in API security implementation?,1,1-5
hs_214,hard_skills,microservices,How comfortable are you with containerization technologies?,3,1-5
hs_215,hard_skills,microservices,How effectively can you perform optimize database performance?,3,1-5
hs_216,hard_skills,microservices,How confident are you in implementing CI/CD pipelines?,3,1-5
hs_217,hard_skills,microservices,How well do you perform in code testing and debugging?,3,1-5
hs_218,hard_skills,microservices,How often do you engage in system monitoring and logging?,2,1-5
hs_219,hard_skills,microservices,How comfortable are you with machine learning algorithms?,2,1-5
hs_220,hard_skills,microservices,How effectively can you perform implement data encryption?,3,1-5
hs_221,hard_skills,microservices,How confident are you in mobile app development?,1,1-5
hs_222,hard_skills,microservices,How well do you perform in web framework implementation?,1,1-5
hs_223,hard_skills,microservices,How often do you engage in performance profiling?,1,1-5
hs_224,hard_skills,microservices,How comfortable are you with blockchain technology?,3,1-5
hs_225,hard_skills,microservices,How effectively can you perform implement real-time systems?,2,1-5
hs_226,hard_skills,containerization,How confident are you in implementing microservices architecture?,2,1-5
hs_227,hard_skills,containerization,How well do you perform in cloud infrastructure management?,2,1-5
hs_228,hard_skills,containerization,How often do you engage in API security implementation?,2,1-5
hs_229,hard_skills,containerization,How comfortable are you with containerization technologies?,3,1-5
hs_230,hard_skills,containerization,How effectively can you perform optimize database performance?,2,1-5
hs_231,hard_skills,containerization,How confident are you in implementing CI/CD pipelines?,2,1-5
hs_232,hard_skills,containerization,How well do you perform in code testing and debugging?,2,1-5
hs_233,hard_skills,containerization,How often do you engage in system monitoring and logging?,1,1-5
hs_234,hard_skills,containerization,How comfortable are you with machine learning algorithms?,1,1-5
hs_235,hard_skills,containerization,How effectively can you perform implement data encryption?,3,1-5
hs_236,hard_skills,containerization,How confident are you in mobile app development?,2,1-5
hs_237,hard_skills,containerization,How well do you perform in web framework implementation?,3,1-5
hs_238,hard_skills,containerization,How often do you engage in performance profiling?,2,1-5
hs_239,hard_skills,containerization,How comfortable are you with blockchain technology?,3,1-5
hs_240,hard_skills,containerization,How effectively can you perform implement real-time systems?,1,1-5
hs_241,hard_skills,monitoring_logging,How confident are you in implementing microservices architecture?,2,1-5
hs_242,hard_skills,monitoring_logging,How well do you perform in cloud infrastructure management?,1,1-5
hs_243,hard_skills,monitoring_logging,How often do you engage in API security implementation?,2,1-5
hs_244,hard_skills,monitoring_logging,How comfortable are you with containerization technologies?,2,1-5
hs_245,hard_skills,monitoring_logging,How effectively can you perform optimize database performance?,3,1-5
hs_246,hard_skills,monitoring_logging,How confident are you in implementing CI/CD pipelines?,2,1-5
hs_247,hard_skills,monitoring_logging,How well do you perform in code testing and debugging?,1,1-5
hs_248,hard_skills,monitoring_logging,How often do you engage in system monitoring and logging?,3,1-5
hs_249,hard_skills,monitoring_logging,How comfortable are you with machine learning algorithms?,1,1-5
hs_250,hard_skills,monitoring_logging,How effectively can you perform implement data encryption?,3,1-5
hs_251,hard_skills,monitoring_logging,How confident are you in mobile app development?,2,1-5
hs_252,hard_skills,monitoring_logging,How well do you perform in web framework implementation?,1,1-5
hs_253,hard_skills,monitoring_logging,How often do you engage in performance profiling?,1,1-5
hs_254,hard_skills,monitoring_logging,How comfortable are you with blockchain technology?,3,1-5
hs_255,hard_skills,monitoring_logging,How effectively can you perform implement real-time systems?,1,1-5
hs_256,hard_skills,performance_optimization,How confident are you in implementing microservices architecture?,2,1-5
hs_257,hard_skills,performance_optimization,How well do you perform in cloud infrastructure management?,2,1-5
hs_258,hard_skills,performance_optimization,How often do you engage in API security implementation?,3,1-5
hs_259,hard_skills,performance_optimization,How comfortable are you with containerization technologies?,3,1-5
hs_260,hard_skills,performance_optimization,How effectively can you perform optimize database performance?,2,1-5
hs_261,hard_skills,performance_optimization,How confident are you in implementing CI/CD pipelines?,3,1-5
hs_262,hard_skills,performance_optimization,How well do you perform in code testing and debugging?,2,1-5
hs_263,hard_skills,performance_optimization,How often do you engage in system monitoring and logging?,2,1-5
hs_264,hard_skills,performance_optimization,How comfortable are you with machine learning algorithms?,1,1-5
hs_265,hard_skills,performance_optimization,How effectively can you perform implement data encryption?,1,1-5
hs_266,hard_skills,performance_optimization,How confident are you in mobile app development?,1,1-5
hs_267,hard_skills,performance_optimization,How well do you perform in web framework implementation?,2,1-5
hs_268,hard_skills,performance_optimization,How often do you engage in performance profiling?,2,1-5
hs_269,hard_skills,performance_optimization,How comfortable are you with blockchain technology?,2,1-5
hs_270,hard_skills,performance_optimization,How effectively can you perform implement real-time systems?,2,1-5
sa_001,creativity,innovation_problem_solving,How confident are you in innovation problem solving?,1,1-5
sa_002,creativity,innovation_problem_solving,How well do you perform innovation problem solving?,2,1-5
sa_003,creativity,innovation_problem_solving,How often do you engage in innovation problem solving?,3,1-5
sa_004,creativity,innovation_problem_solving,How comfortable are you with innovation problem solving?,1,1-5
sa_005,creativity,innovation_problem_solving,How effectively can you perform innovation problem solving?,2,1-5
sa_006,creativity,innovation_problem_solving,How confident are you in integrating feedback when solving problems creatively?,3,1-5
sa_007,creativity,innovation_problem_solving,How well do you perform integrating feedback in creative tasks?,1,1-5
sa_008,creativity,innovation_problem_solving,How often do you engage in generating multiple creative ideas?,2,1-5
sa_009,creativity,innovation_problem_solving,How comfortable are you with proposing alternative solutions?,3,1-5
sa_010,creativity,algorithm_design,How confident are you in designing algorithms?,1,1-5
sa_011,creativity,algorithm_design,How well do you perform designing algorithms?,2,1-5
sa_012,creativity,algorithm_design,How often do you engage in designing algorithms?,3,1-5
sa_013,creativity,algorithm_design,How comfortable are you with designing algorithms?,1,1-5
sa_014,creativity,algorithm_design,How effectively can you perform designing algorithms?,2,1-5
sa_015,creativity,algorithm_design,How confident are you in optimizing algorithm performance?,3,1-5
sa_016,creativity,algorithm_design,How well do you perform explaining different algorithmic approaches?,1,1-5
