student_id,archetype,communication_score,leadership_score,time_management_score,analytical_score,moyenne,specialization,preferred_programming_language,primary_learning_style,secondary_learning_style,primary_interest,previous_group_experience,extroversion_score,creativity_score,technical_confidence,cluster,group
ETU_001,Creative Innovator,4.38,2.71,1.6,5.0,11.4,Cybersecurity,Angular,Kinesthetic,Reading,Startup Innovation,Moyen,1.23,3.89,4.75,0,16
ETU_002,Well-Rounded Student,3.46,2.85,2.13,4.27,14.02,Cybersecurity,React,Visual,Reading,Technology Innovation,Moyen,1.36,3.47,2.53,0,5
ETU_003,Mixed Profile,3.82,4.31,3.67,2.72,14.15,DevOps & Cloud Computing,C++,Auditory,Logical,Project Management,Moyen,2.56,1.73,4.02,1,18
ETU_004,Emerging Scholar,1.6,2.36,3.24,3.15,10.31,DevOps & Cloud Computing,C++,Auditory,Solitary,Programming Fundamentals,Faible,2.09,4.31,2.43,0,12
ETU_005,Well-Rounded Student,3.23,2.77,2.57,2.64,14.03,DevOps & Cloud Computing,JavaScript,Kinesthetic,Visual,Technology Innovation,Élevé,4.09,1.3,2.43,1,5
ETU_006,Technical Leader,2.29,4.86,3.88,4.29,15.3,Cybersecurity,C++,Logical,Solitary,System Architecture,Élevé,2.89,1.48,3.85,2,9
ETU_007,Mixed Profile,3.19,2.13,3.22,3.21,13.16,Mobile Development,Angular,Visual,Solitary,Network Security,Élevé,3.42,3.16,1.81,0,10
ETU_008,Mixed Profile,4.13,4.51,3.62,4.07,13.25,Web Development,PHP,Kinesthetic,Auditory,Game Development,Faible,2.27,1.44,1.91,2,5
ETU_009,Well-Rounded Student,2.99,2.79,3.78,2.73,14.7,Software Engineering,JavaScript,Visual,Reading,Technology Innovation,Élevé,2.29,3.08,3.81,0,8
ETU_010,Technical Leader,2.82,3.71,4.76,5.0,14.59,Embedded Systems,Python,Visual,Visual,AI/Machine Learning,Moyen,2.64,1.13,2.38,2,12
ETU_011,Emerging Scholar,2.77,1.27,3.64,3.68,10.83,DevOps & Cloud Computing,PHP,Reading,Social,Database Systems,Moyen,2.6,4.27,4.19,0,6
ETU_012,Analytical Thinker,4.37,3.29,3.81,4.45,15.91,Embedded Systems,React,Solitary,Visual,Data Science,Élevé,4.75,1.55,2.36,2,19
ETU_013,Emerging Scholar,1.88,2.79,1.0,3.11,13.49,Web Development,C++,Auditory,Social,Self-Improvement,Élevé,2.36,2.4,3.9,1,7
ETU_014,Mixed Profile,4.43,2.96,4.77,3.4,14.11,Software Engineering,C++,Auditory,Reading,Web Development,Moyen,2.3,3.99,3.6,0,15
ETU_015,Mixed Profile,3.46,4.04,3.3,3.05,13.45,Embedded Systems,JavaScript,Kinesthetic,Auditory,Creative Coding,Moyen,3.58,3.68,4.46,3,10
ETU_016,Analytical Thinker,4.18,2.86,2.55,4.5,18.53,Network Engineering,Python,Visual,Social,Data Science,Moyen,4.87,4.85,4.41,3,21
