question_text,source_url,category,type
Takes on challenging questions and provides instant answers.,https://hr-survey.com/360_Survey_Example_1.htm,communication,scraped
Coaches others on their written communication skills,https://hr-survey.com/360_Survey_Example_1.htm,communication,scraped
Addresses issues of key importance to stakeholders.,https://hr-survey.com/360_Survey_Example_1.htm,communication,scraped
"Communicates goals of project, resources required, resources available, etc. to the team",https://hr-survey.com/360_Survey_Example_1.htm,communication,scraped
Articulates ideas and emotions clearly to others.,https://hr-survey.com/360_Survey_Example_1.htm,communication,scraped
Gives clear and convincing presentations.,https://hr-survey.com/360_Survey_Example_1.htm,communication,scraped
Adapts language and terminology to meet the needs of the audience.,https://hr-survey.com/360Feedback_Sample_Assessment_Form.htm,communication,scraped
Recaps action steps from meetings to ensure clarity and execution.,https://hr-survey.com/360Feedback_Sample_Assessment_Form.htm,communication,scraped
Considers the audience in how the communication is presented.,https://hr-survey.com/360Feedback_Sample_Assessment_Form.htm,communication,scraped
"Responds in a timely manner, respecting deadlines and others' schedules.",https://hr-survey.com/360Feedback_Sample_Assessment_Form.htm,communication,scraped
"When when explaining changes, I explain concepts in a structured manner.",generated_by_templates,communication,generated
"When when receiving criticism, I ask questions clearly and concisely.",generated_by_templates,communication,generated
My verbal communication is engaging and persuasive.,generated_by_templates,communication,generated
I persuade in presentations with empathy.,generated_by_templates,communication,generated
I am skilled at communicate effectively.,generated_by_templates,communication,generated
"During project review meetings, I mediate discussions while maintaining attention.",generated_by_templates,communication,generated
I am skilled at explain concepts effectively.,generated_by_templates,communication,generated
My email communication is concise and impactful.,generated_by_templates,communication,generated
I communicate without creating confusion rather than sending lengthy emails.,generated_by_templates,communication,generated
"When during project discussions, I ask questions with empathy.",generated_by_templates,communication,generated
I find it easy to negotiate even when in stressful situations.,generated_by_templates,communication,generated
I effectively express ideas when in cross-cultural settings.,generated_by_templates,communication,generated
I provide feedback remote teams without creating confusion.,generated_by_templates,communication,generated
I mediate discussions via video conferences tactfully.,generated_by_templates,communication,generated
I can convey messages stakeholders without being misunderstood.,generated_by_templates,communication,generated
I effectively communicate when in cross-cultural settings.,generated_by_templates,communication,generated
I am skilled at negotiate effectively.,generated_by_templates,communication,generated
I explain concepts in status reports in a timely manner.,generated_by_templates,communication,generated
I can share information clients without creating unnecessary tension.,generated_by_templates,communication,generated
"During strategy meetings, I articulate thoughts while maintaining attention.",generated_by_templates,communication,generated
I convey messages cross-functional teams in a persuasive way.,generated_by_templates,communication,generated
My crisis communication is culturally sensitive.,generated_by_templates,communication,generated
My technical communication is engaging and persuasive.,generated_by_templates,communication,generated
I clarify misunderstandings management proactively.,generated_by_templates,communication,generated
"During stakeholder meetings, I negotiate in a structured manner.",generated_by_templates,communication,generated
My presentation communication is audience-appropriate.,generated_by_templates,communication,generated
I find it easy to facilitate conversations even when dealing with complex topics.,generated_by_templates,communication,generated
I clarify misunderstandings in status reports with empathy.,generated_by_templates,communication,generated
I find it easy to express ideas even when in stressful situations.,generated_by_templates,communication,generated
I am skilled at negotiate with confidence.,generated_by_templates,communication,generated
I find it easy to mediate discussions even when handling objections.,generated_by_templates,communication,generated
I can convey messages clients without using too much jargon.,generated_by_templates,communication,generated
I can listen remote teams without overlooking cultural sensitivities.,generated_by_templates,communication,generated
I effectively provide feedback when during performance reviews.,generated_by_templates,communication,generated
I share information through email effectively.,generated_by_templates,communication,generated
I effectively persuade when in cross-cultural settings.,generated_by_templates,communication,generated
"When in team brainstorming, I provide feedback with confidence.",generated_by_templates,communication,generated
I am skilled at communicate with empathy.,generated_by_templates,communication,generated
"When in conflict situations, I mediate discussions in a structured manner.",generated_by_templates,communication,generated
I can facilitate conversations management without missing important feedback.,generated_by_templates,communication,generated
